No.,Name,Work,Date (AH),Residence,Latitude,Longitude
1,Āmir ibn Sharāhīl al-Sha‘bī,Kitāb al-Talāq,c. 19-103,"Kufa, Iraq",32.6149,44.0243
2,Muhammad ibn Sīrīn,,33-110,"Basra, Iraq",30.5086,47.7804
3,Muhammad ibn Shihāb al-Zuhrī,Al-Maghāzī al-Nabawiyyah,c. 50-124,"Medina, Hijaz (now Saudi Arabia)",24.5247,39.5692
4,Abd al-Malik Ibn Jurayj,Al-Musnad li Ibn Jrayj,80-150,"Mecca, Hijaz (now Saudi Arabia)",21.4225,39.8262
5,Ma‘mar ibn Rāshid,Al-Jāmi‘ li Ma‘mar ibn Rāshid,95-153,"Basra, Iraq",30.5086,47.7804
6,Shu’bah ibn al-Hajjāj,,82-160,"Basra, Iraq",30.5086,47.7804
7,Sufyān al-Thawrī,Al-Jāmi‘ li Sufyān al-Thawrī,97-161,"Kufa, Iraq",32.6149,44.0243
8,Mālik ibn Anas,Al-Muwatta’,93-179,"Medina, Hijaz (now Saudi Arabia)",24.5247,39.5692
9,Abd Allāh ibn al-Mubārak,Kitāb al-Zuhd,118-181,"Marv, Khorasan (now Turkmenistan)",37.66,61.83
10,Wakī‘ ibn al-Jarrāh,Kitāb al-Zuhd,129-197,"Kufa, Iraq",32.6149,44.0243
11,Sufyān ibn ‘Uyaynah,Al-Jāmi‘ li Sufyān ibn ‘Uyaynah,107-198,"Mecca, Hijaz (now Saudi Arabia)",21.4225,39.8262
12,Yahyā ibn Sa‘īd al-Qattān,,120-198,"Basra, Iraq",30.5086,47.7804
13,Abd al-Rahmān ibn Mahdī,,135-198,"Basra, Iraq",30.5086,47.7804
14,Abū Dāwūd al-Tayālisī,Musnad Abī Dāwūd al-Tayālisī,133-204,"Basra, Iraq",30.5086,47.7804
15,Abd al-Razzāq ibn Hammām,Musannaf Abd al-Razzāq,126-211,"Sanaa, Yemen",15.3694,44.191
16,Abd Allāh ibn al-Zubayr al-Humaydī,Musnad al-Humaydī,d. 219,"Mecca, Hijaz (now Saudi Arabia)",21.4225,39.8262
17,Abū ‘Ubayd al-Qāsim ibn Sallām,Kitāb al-Amwāl/al-Gharīb al-Musannaf,157-224,"Mecca, Hijaz (now Saudi Arabia)",21.4225,39.8262
18,Muhammad ibn Sa‘d,Al-Tabaqāt al-Kabīr,168-230,"Baghdad, Iraq",33.3152,44.3661
19,Yahyā ibn Ma‘īn,Al-Tārīkh wa al-‘Ilal,158-233,"Baghdad, Iraq",33.3152,44.3661
20,Alī ibn al-Madīnī,Al-‘Ilal/al-Asāmī wa al-Kunā,161-234,"Baghdad, Iraq",33.3152,44.3661
21,Abū Bakr ibn Abī Shaybah,Musannaf Ibn Abī Shaybah,159-235,"Kufa, Iraq",32.6149,44.0243
22,Ishāq ibn Rahwayh,Musnad Ishāq ibn Rahway,161-238,"Nishapur, Iran",36.2147,58.7961
23,Ahmad ibn Hanbal,Musnad Ahmad/Kitāb al-Zuhd,164-241,"Baghdad, Iraq",33.3152,44.3661
24,Abd Allāh al-Dārimī,Sunan al-Dārimī,181-255,"Samarqand, Uzbekistan",39.6526,66.974
25,Muhammad ibn Ismā‘īl al-Bukhārī,Al-Jāmi‘ al-Musnad al-Sahīh,194-256,"Bukhara, Uzbekistan",39.774,64.428
26,Muhammad ibn Yahyā al-Dhuhlī,Al-Zuhriyyāt,172-258,"Nishapur, Iran",36.2147,58.7961
27,Muslim ibn al-Hajjāj,Al-Musnad al-Sahīh/Kitāb al-Tamyīz,204-261,"Nishapur, Iran",36.2147,58.7961
28,Abū Zur‘ah al-Rāzī,Asmā’ al-Du‘afā’,200-264,"Ray, Iran",35.6216,51.4286
29,Abū ‘Abd Allāh Muhammad Ibn Mājah,Sunan Ibn Mājah,209-273,"Qazvin, Iran",36.2688,50.0041
30,Abū Dāwūd Sulaymān ibn al-Ash‘ath,Sunan Abī Dāwūd/al-Marāsīl,202-275,"Sijistan, Iran",30.1256,61.7922
31,Baqī ibn Makhlad al-Andalusī,Musnad Baqī ibn Makhlad,201-276,"Cordoba, Spain",37.8882,-4.7794
32,Abū Hātim al-Razī,Tabaqāt al-Tābi‘īn,195-277,"Ray, Iran",35.6216,51.4286
33,Abū ‘Īsā al-Tirmidhī,Al-Jāmi‘ al-Kabīr/al-Shamā’il,209-279,"Termez, Uzbekistan",37.2248,67.2783
34,Abū Bakr al-Bazzār,Al-Bahr al-Zakhkhār,210-292,"Basra, Iraq",30.5086,47.7804
35,Ahmad ibn Shu‘ayb al-Nasa’ī,Al-Mujtabā/al-Sunan al-Kubrā,215-303,"Nasa, Turkmenistan",37.9768,58.3606
36,Abū Ya‘lā al-Mawsilī,Musnad Abī Ya‘lā,210-307,"Mosul, Iraq",36.334,43.1189
